Id;Name;Name Short;Nick Name;Abbreviation;Nation;Division;Last Division;Reserve Division;Reputation;Year Founded;Cash;Player Budget;Attendance;Min Attendance;Max Attendance;Stadium;Practice Facilities;Foreground Colour 1;Background Colour 1;Trim Colour 1;Foreground Colour 2;Background Colour 2;Trim Colour 2;Foreground Colour 3;Background Colour 3;Trim Colour 3;Favourite Staff 1;Favourite Staff 2;Favourite Staff 3;Disliked Staff 1;Disliked Staff 2;Disliked Staff 3;Rival 1;Rival 2;Rival 3;
2345;Beaverlodge Blades;Beaverlodge;---;BEA;Canada;NWJHL;NWJHL;NWJHL;1000;0;0;33750;250;100;5938;Beaverlodge Ice Hall;Beaverlodge Ice Hall;White;Red 1;Black;Red 1;White;Black;Black;White;White;---;---;---;---;---;---;---;---;---;
2346;Dawson Creek Junior Canucks;Dawson Creek;---;DCK;Canada;NWJHL;NWJHL;NWJHL;1000;0;0;33750;250;100;5018;Dawson Creek Ice Hall;Dawson Creek Ice Hall;White;Blue Navy;Red 1;Blue Navy;White;Red 1;Black;White;White;---;---;---;---;---;---;---;---;---;
2347;Fort St. John Huskies;Fort St. John;---;FSJ;Canada;NWJHL;NWJHL;NWJHL;1000;0;0;33750;250;100;5462;Fort St. John Ice Hall;Fort St. John Ice Hall;White;Black;Yellow 1;Black;White;Yellow 1;Black;White;White;---;---;---;---;---;---;---;---;---;
2348;Grande Prairie Wheelers;Grande Prairie;---;GPR;Canada;NWJHL;NWJHL;NWJHL;1000;0;0;33750;250;100;5575;Canada Games Arena;Canada Games Arena;White;Black;Blue 1;Black;White;Blue 1;Black;White;White;---;---;---;---;---;---;---;---;---;
2349;Peace Air Navigators;Peace;---;PEA;Canada;NWJHL;NWJHL;NWJHL;1000;0;0;33750;250;100;5184;Peace River Ice Hall;Peace River Ice Hall;White;Green 1;Grey 2;Green 1;White;Grey 2;Black;White;White;---;---;---;---;---;---;---;---;---;
2350;Sexsmith Vipers;Sexsmith;---;SEX;Canada;NWJHL;NWJHL;NWJHL;1000;0;0;33750;250;100;5240;Sexsmith Arena;Sexsmith Arena;White;Black;Red 1;Black;White;Red 1;Black;White;White;---;---;---;---;---;---;---;---;---;
2351;Slave Lake Wolves;Slave Lake;---;SLV;Canada;NWJHL;NWJHL;NWJHL;1000;0;0;33750;250;100;5445;Slave Lake Ice Hall;Slave Lake Ice Hall;White;Red 1;Blue 1;Red 1;White;Blue 1;Black;White;White;---;---;---;---;---;---;---;---;---;
2352;Big River Timberkings;Big River;---;BGR;---;---;NSJHL;---;1000;0;0;0;250;100;5242;Big River Ice Hall;Big River Ice Hall;White;Blue Navy Dark;Gold;Blue Navy Dark;White;Gold;Black;White;White;---;---;---;---;---;---;---;---;---;
2353;Delisle Chiefs;Delisle Chiefs;---;DCH;Canada;Prairie Jr Hockey League;NSJHL;Prairie Jr Hockey League;1000;0;0;33750;250;100;5128;Delisle Ice Hall;Delisle Ice Hall;Orange 1;Blue 1;White;Orange 1;White;Blue 1;Black;White;White;---;---;---;---;---;---;---;---;---;
2354;Saskatoon Quakers;Saskatoon Quakers;---;SQK;Canada;Prairie Jr Hockey League;NSJHL;Prairie Jr Hockey League;1461;0;0;33750;562;225;5674;Saskatoon Ice Hall;Saskatoon Ice Hall;Orange 1;White;Black;White;Red 1;Orange 1;Black;White;White;---;---;---;---;---;---;---;---;---;
2355;Saskatoon Royals;Saskatoon Royals;---;SRY;Canada;Prairie Jr Hockey League;NSJHL;Prairie Jr Hockey League;1475;0;0;33750;562;225;5662;Saskatoon Ice Hall;Saskatoon Ice Hall;Purple 2;Black;White;Purple 2;White;Black;Black;White;White;---;---;---;---;---;---;---;---;---;
2356;Saskatoon Westleys;Saskatoon Westleys;---;SWE;Canada;Prairie Jr Hockey League;NSJHL;Prairie Jr Hockey League;1492;0;0;33750;562;225;5524;Saskatoon Ice Hall;Saskatoon Ice Hall;Yellow 1;Green 1;Black;Yellow 1;White;Green 1;Black;White;White;---;---;---;---;---;---;---;---;---;
2357;Tri-Town Thunder;Tri-Town;---;TTT;Canada;Prairie Jr Hockey League;NSJHL;Prairie Jr Hockey League;1000;0;0;33750;250;100;5775;Carrot River Ice Hall;Carrot River Ice Hall;White;Blue Navy Dark;Red 1;Blue Navy Dark;Red 1;Yellow 1;Black;White;White;---;---;---;---;---;---;---;---;---;
2358;Assiniboia Southern Rebels;Assiniboia;---;ASR;Canada;Prairie Jr Hockey League;Prairie Jr Hockey League;Prairie Jr Hockey League;1462;0;0;33750;562;225;5409;Assiniboia Ice Hall;Assiniboia Ice Hall;White;Blue 1;Orange 1;Blue 1;White;Orange 1;Black;White;White;---;---;---;---;---;---;---;---;---;
2359;Fort Knox;Fort Knox;---;FRT;Canada;Prairie Jr Hockey League;Prairie Jr Hockey League;Prairie Jr Hockey League;1480;0;0;33750;562;225;5373;Fort Qu'Appelle Ice Hall;Fort Qu'Appelle Ice Hall;Black;Blue Navy;Brown 1;Blue Navy;White;Brown 1;Black;White;White;---;---;---;---;---;---;---;---;---;
2360;Moose Mountain Rangers;Moose Mountain;---;MMT;Canada;A Minor League;Prairie Jr Hockey League;A Minor League;1000;0;0;0;250;100;5345;White Bear First Nation Place;White Bear First Nation Place;Red 1;Blue Navy Dark;White;Blue Navy Dark;White;Red 1;Black;White;White;---;---;---;---;---;---;---;---;---;
2361;Notre Dame Junior B Hounds;Notre Dame;---;NTD;Canada;A Minor League;Prairie Jr Hockey League;A Minor League;2000;0;0;0;1000;400;5340;Duncan McNeill Arena;Duncan McNeill Arena;White;Red 1;Red 1;Red 1;White;White;Black;White;White;---;---;---;---;---;---;---;---;---;
2362;Pilot Butte Storm;Pilot Butte;---;PBU;Canada;Prairie Jr Hockey League;Prairie Jr Hockey League;Prairie Jr Hockey League;1000;0;0;33750;250;100;5134;Pilot Butte Ice Hall;Pilot Butte Ice Hall;White;Black;Red 1;Black;Grey 3;Red 1;Black;White;White;---;---;---;---;---;---;---;---;---;
2363;Regina Capitals;Regina;---;REG;Canada;Prairie Jr Hockey League;Prairie Jr Hockey League;Prairie Jr Hockey League;1470;0;0;33750;562;225;5782;Regina Rink;Regina Rink;White;Blue 1;Red 1;Blue 1;White;Red 1;Black;White;White;---;---;---;---;---;---;---;---;---;
2364;North Winnipeg Satellites;North Winnipeg;---;NWI;Canada;KJHL;KJHL;KJHL;500;0;0;33750;250;75;5922;Winnipeg Ice Hall;Winnipeg Ice Hall;Gold;Black;White;Gold;White;Black;Black;White;White;---;---;---;---;---;---;---;---;---;
2365;Peguis Juniors;Peguis;---;PEG;Canada;KJHL;KJHL;KJHL;500;0;0;33750;250;75;5107;Peguis Ice Hall;Peguis Ice Hall;White;Black;Red 1;Red 1;White;Black;Black;White;White;---;---;---;---;---;---;---;---;---;
2366;Sagkeeng Hawks;Sagkeeng;---;SAG;Canada;KJHL;KJHL;KJHL;500;0;0;33750;250;75;5645;Sagkeeng First Nation Multiplex;Sagkeeng First Nation Multiplex;White;Red 1;Black;Red 1;White;Black;Black;White;White;---;---;---;---;---;---;---;---;---;
2367;St. Boniface Seals;St. Boniface;---;STB;Canada;KJHL;KJHL;KJHL;500;0;0;33750;250;75;5257;St. Boniface Place;St. Boniface Place;Black;Red 1;Yellow 1;Yellow 1;White;Red 1;Black;White;White;---;---;---;---;---;---;---;---;---;
2368;St. Malo Warriors;St. Malo;---;STM;Canada;KJHL;KJHL;KJHL;500;0;0;33750;250;75;5209;St. Malo Ice Hall;St. Malo Ice Hall;White;Green 5;Gold;Green 5;Gold;White;Black;White;White;---;---;---;---;---;---;---;---;---;
2369;Selkirk Fishermen;Selkirk;---;SEL;Canada;KJHL;KJHL;KJHL;500;0;0;33750;250;75;5020;Selkirk Recreation Complex;Selkirk Recreation Complex;White;Black;Red 1;Black;White;Red 1;Black;White;White;---;---;---;---;---;---;---;---;---;
2370;Cross Lake Islanders;Cross Lake;---;CLK;---;---;NJHL;---;500;0;0;0;250;75;5573;Cross Lake Rink;Cross Lake Rink;Orange 1;Blue 2;White;Blue 2;White;Orange 1;Black;White;White;---;---;---;---;---;---;---;---;---;
2371;NCN Flames;NCN;---;NCN;---;---;NJHL;---;500;0;0;0;250;75;5599;Nelson House Ice Hall;Nelson House Ice Hall;Yellow 1;Black;Red 1;Yellow 1;White;Red 1;Black;White;White;---;---;---;---;---;---;---;---;---;
2372;Norway House North Stars;Norway House;---;NWH;Canada;KJHL;NJHL;KJHL;500;0;0;33750;250;75;5956;Norway House Center;Norway House Center;Green 1;Black;Gold;Gold;White;Green 1;Black;White;White;---;---;---;---;---;---;---;---;---;
2373;OCN Storm;OCN;---;OCN;Canada;A Minor League;NJHL;A Minor League;500;0;0;0;250;75;5762;Gordon Lathlin Memorial Centre;Gordon Lathlin Memorial Centre;White;Blue Navy;Red 1;Blue Navy;White;Red 2;Black;White;White;---;---;---;---;---;---;---;---;---;
2374;Tataskweyak Cree Juniors;Tataskweyak;---;TAT;---;---;NJHL;---;500;0;0;0;250;75;5666;Split Lake Rink;Split Lake Rink;White;Blue 1;Blue 1;Blue 1;White;White;Black;White;White;---;---;---;---;---;---;---;---;---;
2375;Langley Eagles;Langley;---;LAN;Canada;PCBL;PCBL;PCBL;500;0;0;33750;250;75;5964;George Preston Arena;George Preston Arena;Brown 1;Black;Grey 2;Black;White;Brown 1;Black;White;White;---;---;---;---;---;---;---;---;---;
2376;Semiahmoo Ravens;Semiahmoo;---;SEM;Canada;PCBL;PCBL;PCBL;500;0;0;36380;250;75;5003;White Rock Ice Hall;White Rock Ice Hall;Black;White;White;White;Red 1;White;Black;White;White;---;---;---;---;---;---;---;---;---;
2377;North Shore Winter Club Winterhawks;North Shore Winter Club;---;NSW;Canada;PCBL;PCBL;PCBL;1000;0;0;33750;250;100;5087;North Vancouver Place;North Vancouver Place;White;Blue Navy Dark;Red 2;Blue Navy Dark;White;Red 2;Black;White;White;---;---;---;---;---;---;---;---;---;
2378;Burnaby Winter Club Bruins;Burnaby Winter Club;BWC;BUR;Canada;PCBL;PCBL;PCBL;1000;0;0;33750;250;100;5030;Burnaby Place;Burnaby Place;Yellow 2;Black;White;Black;White;Yellow 2;Black;White;White;---;---;---;---;---;---;---;---;---;
2379;Abbotsford Hawks;Abbotsford;Abby;ABB;Canada;PCBL;PCBL;PCBL;500;0;0;33750;250;75;5437;Abbotsford Recreation Centre;Abbotsford Recreation Centre;White;Red 2;Black;Black;White;White;Black;White;White;---;---;---;---;---;---;---;---;---;
2380;Chilliwack Bantam Bruins;Chilliwack;---;CHI;Canada;PCBL;PCBL;PCBL;500;0;0;33750;250;75;5490;Twin Rinks;Twin Rinks;Yellow 2;Blue 1;White;Blue 1;White;Yellow 2;Black;White;White;---;---;---;---;---;---;---;---;---;
2381;South Delta Storm;South Delta;---;SDE;Canada;PCBL;PCBL;PCBL;500;0;0;33750;250;75;5176;Tsawwassen Place;Tsawwassen Place;Black;White;White;White;Red 1;White;Black;White;White;---;---;---;---;---;---;---;---;---;
2382;North Delta Sundevils;North Delta;---;NDE;Canada;PCBL;PCBL;PCBL;500;0;0;33750;250;75;5006;Ladner Center;Ladner Center;Black;White;White;White;Red 1;White;Black;White;White;---;---;---;---;---;---;---;---;---;
2383;Ridge Meadows Rustlers;Ridge Meadows;---;RME;Canada;PCBL;PCBL;PCBL;500;0;0;33750;250;75;5729;Planet Ice Maple Ridge;Planet Ice Maple Ridge;Black;Red 1;Yellow 1;Black;White;Red 1;Black;White;White;---;---;---;---;---;---;---;---;---;
2384;Vancouver Thunderbirds;Vancouver Thunderbirds;---;VAN;Canada;PCBL;PCBL;PCBL;500;0;0;33750;250;75;5076;Vancouver Place;Vancouver Place;Black;White;White;White;Red 1;White;Black;White;White;---;---;---;---;---;---;---;---;---;
2385;Coquitlam Chiefs;Coquitlam;---;COQ;Canada;PCBL;PCBL;PCBL;500;0;0;33750;250;75;5917;Coquitlam Sports Centre;Coquitlam Sports Centre;White;Black;Yellow 3;Black;Yellow 3;White;Black;White;White;---;---;---;---;---;---;---;---;---;
2386;Surrey Thunder;Surrey;---;SUR;Canada;PCBL;PCBL;PCBL;500;0;0;33750;250;75;5752;South Surrey Arena;South Surrey Arena;White;Blue 2;Orange 1;Orange 1;White;Blue 2;Black;White;White;---;---;---;---;---;---;---;---;---;
2387;Richmond Blues;Richmond;---;RIC;Canada;PCBL;PCBL;PCBL;500;0;0;33750;250;75;5006;Richmond Arena;Richmond Arena;Yellow 2;Blue 1;White;Black;White;Yellow 2;Black;White;White;---;---;---;---;---;---;---;---;---;
2388;Prince George Bantam Cougars;Prince George;---;PRG;Canada;BCIBL;BCIBL;BCIBL;500;0;0;33750;250;75;5178;CN Centre;CN Centre;Red 1;White;Black;Red 1;Black;White;Black;White;White;---;---;---;---;---;---;---;---;---;
2389;Vernon Elks;Vernon;---;VER;Canada;BCIBL;BCIBL;BCIBL;500;0;0;33750;250;75;5498;Vernon Multiplex;Vernon Multiplex;Black;White;White;White;Red 1;White;Black;White;White;---;---;---;---;---;---;---;---;---;
2390;Kamloops Jardine Blazers;Kamloops;Blazers;KAM;Canada;BCIBL;BCIBL;BCIBL;500;0;0;33750;250;75;5266;Kamloops Ice Hall;Kamloops Ice Hall;Blue 1;White;Orange 1;Orange 1;Blue 1;White;Black;White;White;---;---;---;---;---;---;---;---;---;
2391;Kelowna Junior Rockets;Kelowna;---;KEL;Canada;BCIBL;BCIBL;BCIBL;500;0;0;33750;250;75;5867;Kelowna Center;Kelowna Center;Cyan 1;White;Red 1;Red 1;Black;Cyan 1;Black;White;White;---;---;---;---;---;---;---;---;---;
2392;Penticton Jr. Vees;Penticton;---;PEN;Canada;BCIBL;BCIBL;BCIBL;500;0;0;33750;250;75;5017;Penticton Memorial Arena;Penticton Memorial Arena;White;Blue 1;Gold Nashville;Blue 1;White;Gold Nashville;Black;White;White;---;---;---;---;---;---;---;---;---;
2393;Cranbrook Bantam Ice;Cranbrook;---;CRA;Canada;BCIBL;BCIBL;BCIBL;500;0;0;33750;250;75;5433;Western Financial Place;Western Financial Place;Black;Blue Navy;Brown 1;Blue Navy;White;Brown 1;Black;White;White;---;---;---;---;---;---;---;---;---;
2394;Campbell River Bantam Tyees;Campbell River;---;CAM;Canada;BCVIBL;BCVIBL;BCVIBL;500;0;0;33750;250;75;5252;Campbell River Center;Campbell River Center;Purple 2;Black;Grey 1;Purple 2;White;Black;Black;White;White;---;---;---;---;---;---;---;---;---;
2395;Peninsula Bantam Eagles;Peninsula;---;PEN;Canada;BCVIBL;BCVIBL;BCVIBL;500;0;0;33750;250;75;5638;North Saanich Center;North Saanich Center;Green 4;Blue 3;White;Green 4;White;Blue 3;Black;White;White;---;---;---;---;---;---;---;---;---;
2396;Victoria Racquet Club Bantam Kings;Victoria Racquet Club;---;VRC;Canada;BCVIBL;BCVIBL;BCVIBL;500;0;0;33750;250;75;5509;Victoria Center;Victoria Center;Yellow 2;Blue 1;White;Blue 1;White;Yellow 2;Black;White;White;---;---;---;---;---;---;---;---;---;
2397;Cowichan Valley Bantam Capitals;Cowichan Valley;---;CVA;Canada;BCVIBL;BCVIBL;BCVIBL;500;0;0;36380;250;75;5253;Cowichan Valley Community Centre;Cowichan Valley Community Centre;Black;White;White;White;Red 1;White;Black;White;White;---;---;---;---;---;---;---;---;---;
2398;Nanaimo Bantam Clippers;Nanaimo;---;NAN;Canada;BCVIBL;BCVIBL;BCVIBL;500;0;0;33750;250;75;5198;Frank Crane Arena;Frank Crane Arena;Green 2;Black;Gold Nashville;Green 2;White;Gold Nashville;Black;White;White;---;---;---;---;---;---;---;---;---;
2399;Saskatoon Maniacs;Saskatoon Maniacs;---;SMA;Canada;GSHL;GSHL;GSHL;500;0;0;37500;250;75;5474;Saskatoon Rink;Saskatoon Rink;White;Black;Gold Nashville;Gold Nashville;White;Black;Black;White;White;---;---;---;---;---;---;---;---;---;
2400;Saskatoon Bandits;Saskatoon Bandits;---;SBA;Canada;GSHL;GSHL;GSHL;500;0;0;37500;250;75;5850;Saskatoon Ice Hall;Saskatoon Ice Hall;White;Blue 2;Orange 1;Orange 1;White;Blue 2;Black;White;White;---;---;---;---;---;---;---;---;---;
2401;Saskatoon Outlaws;Saskatoon Outlaws;---;SOU;Canada;GSHL;GSHL;GSHL;500;0;0;37500;250;75;5158;Saskatoon Ice Hall;Saskatoon Ice Hall;Purple 1;Blue 1;White;Purple 1;White;Blue 1;Black;White;White;---;---;---;---;---;---;---;---;---;
2402;Saskatoon Stallions;Saskatoon Stallions;---;SST;Canada;GSHL;GSHL;GSHL;500;0;0;37500;250;75;5314;Saskatoon Ice Hall;Saskatoon Ice Hall;White;Red 1;Red 1;Red 1;White;White;Black;White;White;---;---;---;---;---;---;---;---;---;
2403;Martensville Marauders;Martensville;---;MAR;Canada;GSHL;GSHL;GSHL;500;0;0;37500;250;75;5261;Martensville Ice Hall;Martensville Ice Hall;White;Black;Cyan 1;Black;White;Cyan 1;Black;White;White;---;---;---;---;---;---;---;---;---;
2404;Notre Dame Bantam AAA Hounds;Notre Dame AAA;---;NTD;Canada;SSBHL;---;SSBHL;1000;0;0;33750;250;100;5977;Duncan McNeill Arena;Duncan McNeill Arena;White;Red 1;Red 1;Red 1;White;White;Black;White;White;---;---;---;---;---;---;---;---;---;
2405;Yorkton UCT Terriers;Yorkton;---;YOR;Canada;SBAAHL;SBAAHL;SBAAHL;500;0;0;37500;250;75;5070;Farrell Agencies Arena;Farrell Agencies Arena;Orange 1;Black;White;Orange 1;White;Black;Black;White;White;---;---;---;---;---;---;---;---;---;
2406;Weyburn Energy Wings;Weyburn;---;WEY;Canada;SBAAHL;SBAAHL;SBAAHL;500;0;0;37500;250;75;5212;Weyburn Colosseum;Weyburn Colosseum;White;Red 1;Black;Red 1;White;Black;Black;White;White;---;---;---;---;---;---;---;---;---;
2407;Moose Jaw Ford Warriors;Moose Jaw;---;MSJ;Canada;SBAAHL;SBAAHL;SBAAHL;500;0;0;37500;250;75;5863;Moose Jaw Rink;Moose Jaw Rink;Red 1;Black;White;Red 1;White;Black;Black;White;White;---;---;---;---;---;---;---;---;---;
2408;Estevan TS&M Bruins;Estevan;---;EST;Canada;SBAAHL;SBAAHL;SBAAHL;500;0;0;37500;250;75;5885;Estevan Rink;Estevan Rink;NHL? Yellow;Black;White;NHL? Yellow;White;Black;Black;White;White;---;---;---;---;---;---;---;---;---;
2409;Swift Current Kabos Raiders;Swift Current;---;SWC;Canada;SBAAHL;SBAAHL;SBAAHL;500;0;0;37500;250;75;5704;Swift Current Rink;Swift Current Rink;White;Blue 1;Green 1;Green 1;White;Blue 1;Black;White;White;---;---;---;---;---;---;---;---;---;
2410;Melville Bantam Millionaires;Melville;---;MEL;Canada;SBAAHL;SBAAHL;SBAAHL;500;0;0;37500;250;75;5579;Melville Stadium;Melville Stadium;White;Blue 4;Red 4;Blue 4;White;Red 4;Black;White;White;---;---;---;---;---;---;---;---;---;
2411;Rosetown Red Wings;Rosetown;---;ROS;---;---;CFBHL;---;500;0;0;0;250;75;5086;Rosetown Ice Hall;Rosetown Ice Hall;White;Red 1;Red 1;Red 1;White;White;Black;White;White;---;---;---;---;---;---;---;---;---;
2412;Delisle Bruins;Delisle;---;DEL;---;---;MHA;---;500;0;0;0;250;75;5099;Delisle Ice Hall;Delisle Ice Hall;Yellow 2;Black;White;Yellow 2;White;Black;Black;White;White;---;---;---;---;---;---;---;---;---;
2413;Prince Albert Bantam Mintos;Prince Albert Mintos;---;PAM;---;---;CFBHL;---;1000;0;0;0;250;100;5697;Prince Albert Ice Hall;Prince Albert Ice Hall;Gold;Black;White;Gold;Yellow 1;Black;Black;White;White;---;---;---;---;---;---;---;---;---;
2414;Prince Albert Venice House Raiders;Prince Albert Raiders;---;PAR;Canada;SBAAHL;SBAAHL;SBAAHL;500;0;0;37500;250;75;5589;Art Hauser Centre;Art Hauser Centre;White;Green 1;Yellow 1;Yellow 1;White;Green 1;Black;White;White;---;---;---;---;---;---;---;---;---;
2415;Battlefords Barons;Battlefords;---;BAT;Canada;SBAAHL;SBAAHL;SBAAHL;500;0;0;37500;250;75;5816;Battleford Rink;Battleford Rink;White;Black;Yellow 1;Black;Yellow 1;Red 3;Black;White;White;---;---;---;---;---;---;---;---;---;
2416;Naicam Vikings;Naicam;---;NAI;---;---;CFBHL;---;500;0;0;0;250;75;5991;Naicam Place;Naicam Place;Yellow 1;Green 1;Black;Yellow 1;White;Green 1;Black;White;White;---;---;---;---;---;---;---;---;---;
2417;Tisdale Ramblers;Tisdale;---;TIS;---;---;CFBHL;---;500;0;0;0;250;75;5524;Tisdale Center;Tisdale Center;White;Red 1;Black;Black;White;Red 1;Black;White;White;---;---;---;---;---;---;---;---;---;
2418;Meadow Lake Warriors;Meadow Lake;---;MLK;---;---;CFBHL;---;500;0;0;0;250;75;5138;Meadow Lake Ice Hall;Meadow Lake Ice Hall;White;Red 1;Black;Red 1;White;Black;Black;White;White;---;---;---;---;---;---;---;---;---;
2419;Kindersley Bears;Kindersley;---;KIN;---;---;CFBHL;---;500;0;0;0;250;75;5777;Kindersley Place;Kindersley Place;White;Green 1;Blue Navy;Green 1;White;Blue Navy;Black;White;White;---;---;---;---;---;---;---;---;---;
2420;Humboldt Bantam Broncos;Humboldt;---;HUM;Canada;SBAAHL;SBAAHL;SBAAHL;500;0;0;37500;250;75;5367;Elgar Peterson Arena;Elgar Peterson Arena;White;Green 5;Yellow 2;Green 5;White;Yellow 2;Black;White;White;---;---;---;---;---;---;---;---;---;
2421;Winnipeg Bantam Monarchs;Winnipeg Monarchs;---;WMO;Canada;WAAABL;WAAABL;WAAABL;500;0;0;33750;250;75;5166;Winnipeg Ice Hall;Winnipeg Ice Hall;White;Black;Red 1;Red 1;White;Black;Black;White;White;---;---;---;---;---;---;---;---;---;
2422;Winnipeg Bantam Warriors;Winnipeg Warriors;---;WWA;Canada;WAAABL;WAAABL;WAAABL;500;0;0;33750;250;75;5020;Winnipeg Ice Hall;Winnipeg Ice Hall;Red 1;Black;White;Red 1;White;Black;Black;White;White;---;---;---;---;---;---;---;---;---;
2423;Winnipeg Bantam Hawks;Winnipeg Hawks;---;WHA;Canada;WAAABL;WAAABL;WAAABL;500;0;0;33750;250;75;5431;Winnipeg Ice Hall;Winnipeg Ice Hall;White;Red 2;Black;Black;White;Red 2;Black;White;White;---;---;---;---;---;---;---;---;---;
2424;MacDonald Lightning;MacDonald;---;MAC;Canada;MABL;MABL;MABL;500;0;0;33750;250;75;5010;Starbuck Ice Hall;Starbuck Ice Hall;White;Red 1;Black;Black;White;Red 1;Black;White;White;---;---;---;---;---;---;---;---;---;
2425;Brandon Bantam AAA Wheat Kings;Brandon;---;BRA;Canada;WAAABL;WAAABL;WAAABL;516;0;0;33750;250;75;5885;Brandon Ice Hall;Brandon Ice Hall;Gold;Black;White;Gold;White;Black;Black;White;White;---;---;---;---;---;---;---;---;---;
2426;Portage Bantam Terriers;Portage;---;POR;Canada;MAABL;MAABL;MAABL;500;0;0;33750;250;75;5823;Portage Centennial Arena;Portage Centennial Arena;White;Gold;Green 1;Green 1;White;Gold;Black;White;White;---;---;---;---;---;---;---;---;---;
2427;Altona Maroons;Altona;---;ALT;Canada;MABL;MABL;MABL;500;0;0;33750;250;75;5822;Sunflower Gardens;Sunflower Gardens;White;Red 3;Red 3;Red 3;White;White;Black;White;White;---;---;---;---;---;---;---;---;---;
2428;The Pas Bantam Huskies;The Pas;---;PAS;Canada;MAABL;MAABL;MAABL;500;0;0;33750;250;75;5268;Gordon Lathlin Memorial Centre;Gordon Lathlin Memorial Centre;Black;White;White;White;Red 1;White;Black;White;White;---;---;---;---;---;---;---;---;---;
2429;Winnipeg Bantam Sharks;Winnipeg Sharks;---;WSH;Canada;WAAABL;WAAABL;WAAABL;500;0;0;33750;250;75;5523;Winnipeg Center;Winnipeg Center;Grey 3;Cyan 2;Black;Black;White;Cyan 2;Black;White;White;---;---;---;---;---;---;---;---;---;
2430;Winkler Bantam Flyers;Winkler;---;WIN;Canada;MAABL;MAABL;MAABL;500;0;0;33750;250;75;5557;Winkler Arena;Winkler Arena;White;Black;Orange 1;Orange 1;White;Black;Black;White;White;---;---;---;---;---;---;---;---;---;
2431;Morden Hawks;Morden;---;MOR;Canada;MAABL;MAABL;MAABL;500;0;0;33750;250;75;5556;Morden Center;Morden Center;White;Red 2;Black;Black;White;White;Black;White;White;---;---;---;---;---;---;---;---;---;
2432;Ile des Chenes Elks;Ile des Chenes;---;IDC;Canada;MABL;MABL;MABL;500;0;0;33750;250;75;5408;Ile des Chenes Ice Hall;Ile des Chenes Ice Hall;Black;Brown 1;Yellow 3;Yellow 3;White;Black;Black;White;White;---;---;---;---;---;---;---;---;---;
2433;Southern Steelers;Southern;---;SOU;Canada;MABL;MABL;MABL;500;0;0;33750;250;75;5078;Dominion City Ice Hall;Dominion City Ice Hall;Gold;Black;White;Gold;White;Black;Black;White;White;---;---;---;---;---;---;---;---;---;
2434;Ste. Anne Bantam Aces;Ste. Anne;---;STA;Canada;MABL;MABL;MABL;500;0;0;33750;250;75;5827;Ste. Anne Ice Hall;Ste. Anne Ice Hall;White;Black;Black;Black;White;White;Black;White;White;---;---;---;---;---;---;---;---;---;
2435;Steinbach Bantam Millers;Steinbach;---;STE;Canada;MAABL;MAABL;MAABL;500;0;0;33750;250;75;5616;Steinbach Center;Steinbach Center;Black;Blue 4;White;Blue 4;White;Black;Black;White;White;---;---;---;---;---;---;---;---;---;
2436;Beausejour Comets;Beausejour;---;BEA;Canada;MABL;MABL;MABL;500;0;0;33750;250;75;5256;Beausejour Place;Beausejour Place;Red 1;Blue 1;White;Red 1;White;Blue 1;Black;White;White;---;---;---;---;---;---;---;---;---;
2437;Mitchell Mohawks;Mitchell;---;MIT;Canada;HTJHL;HTJHL;HTJHL;500;0;0;33750;250;75;5820;Steinbach Ice Hall;Steinbach Ice Hall;Black;White;White;White;Red 1;White;Black;White;White;---;---;---;---;---;---;---;---;---;
2438;St. Vital Bantam Victorias;St. Vital;---;STV;Canada;WAABL;WAABL;WAABL;500;0;0;33750;250;75;5518;St. Vital Ice Hall;St. Vital Ice Hall;White;Red 1;Black;Red 1;White;Black;Black;White;White;---;---;---;---;---;---;---;---;---;
2439;Assiniboine Park Rangers;Assiniboine Park;---;APR;Canada;WAABL;WAABL;WAABL;500;0;0;33750;250;75;5966;Winnipeg Ice Hall;Winnipeg Ice Hall;Red 1;Blue 2;White;Blue 2;White;Red 1;Black;White;White;---;---;---;---;---;---;---;---;---;
2440;Selkirk Bantam Fishermen;Selkirk Fishermen;---;SFI;Canada;WAABL;WAABL;WAABL;500;0;0;33750;250;75;5472;Selkirk Recreation Complex;Selkirk Recreation Complex;White;Black;Red 1;Red 1;White;Black;Black;White;White;---;---;---;---;---;---;---;---;---;
2441;Winnipeg Bantam Saints;Winnipeg Saints;---;WSA;Canada;WAABL;WAABL;WAABL;500;0;0;33750;250;75;5082;Winnipeg Arena;Winnipeg Arena;White;Red 2;Black;Black;White;Red 2;Black;White;White;---;---;---;---;---;---;---;---;---;
2442;Flin Flon Bantam Bombers;Flin Flon;---;FFL;Canada;MAABL;MAABL;MAABL;500;0;0;33750;250;75;5369;Whitney Forum;Whitney Forum;Red 3;White;White;White;Red 3;Red 3;Black;White;White;---;---;---;---;---;---;---;---;---;
2443;Stonewall Blues;Stonewall;---;STO;Canada;WAABL;WAABL;WAABL;500;0;0;33750;250;75;5717;Stonewall Ice Hall;Stonewall Ice Hall;Yellow 2;Blue Navy Dark;White;Blue Navy Dark;White;Yellow 2;Black;White;White;---;---;---;---;---;---;---;---;---;
